Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,rv1,rv2
60,30,19.89,47.59666667,19.2,44.79,19.79,44.73,19.0,45.56666667,17.16666667,55.2,7.026666667,84.25666667,17.2,41.62666667,18.2,48.9,17.03333333,45.53,6.6,733.5,92.0,7.0,63.0,5.3,13.27543316,13.27543316
60,30,19.89,46.69333333,19.2,44.7225,19.79,44.79,19.0,45.9925,17.16666667,55.2,6.833333333,84.06333333,17.2,41.56,18.2,48.86333333,17.06666667,45.56,6.48,733.6,92.0,6.666666667,59.16666667,5.2,18.60619498,18.60619498
50,30,19.89,46.3,19.2,44.62666667,19.79,44.93333333,18.92666667,45.89,17.16666667,55.09,6.56,83.15666667,17.2,41.43333333,18.2,48.73,17.0,45.5,6.37,733.7,92.0,6.333333333,55.33333333,5.1,28.64266817,28.64266817
50,40,19.89,46.06666667,19.2,44.59,19.79,45.0,18.89,45.72333333,17.16666667,55.09,6.433333333,83.42333333,17.13333333,41.29,18.1,48.59,17.0,45.4,6.25,733.8,92.0,6.0,51.5,5.0,45.4103895,45.4103895
60,40,19.89,46.33333333,19.2,44.53,19.79,45.0,18.89,45.53,17.2,55.09,6.366666667,84.89333333,17.2,41.23,18.1,48.59,17.0,45.4,6.13,733.9,92.0,5.666666667,47.66666667,4.9,10.08409655,10.08409655
50,40,19.89,46.02666667,19.2,44.5,19.79,44.93333333,18.89,45.73,17.13333333,55.03,6.3,85.76666667,17.13333333,41.26,18.1,48.59,17.0,45.29,6.02,734.0,92.0,5.333333333,43.83333333,4.8,44.91948425,44.91948425
60,50,19.89,45.76666667,19.2,44.5,19.79,44.9,18.89,45.79,17.1,54.96666667,6.263333333,86.09,17.13333333,41.2,18.1,48.59,17.0,45.29,5.9,734.1,92.0,5.0,40.0,4.7,47.23376343,47.23376343
60,50,19.85666667,45.56,19.2,44.5,19.73,44.9,18.89,45.86333333,17.1,54.9,6.19,86.42333333,17.1,41.2,18.1,48.59,17.0,45.29,5.92,734.1666667,91.83333333,5.166666667,40.0,4.68,33.03988962,33.03988962
60,40,19.79,45.5975,19.2,44.43333333,19.73,44.79,18.89,45.79,17.16666667,55.0,6.123333333,87.22666667,17.16666667,41.4,18.1,48.59,17.0,45.29,5.93,734.2333333,91.66666667,5.333333333,40.0,4.67,31.45570219,31.45570219
70,40,19.85666667,46.09,19.23,44.4,19.79,44.86333333,18.89,46.09666667,17.1,55.0,6.19,87.62666667,17.2,41.5,18.1,48.59,17.0,45.29,5.95,734.3,91.5,5.5,40.0,4.65,3.089313523,3.089313523
230,70,19.92666667,45.86333333,19.35666667,44.4,19.79,44.9,18.89,46.43,17.1,55.0,6.19,87.86666667,17.2475,42.7175,18.1,48.59,17.0,45.29,5.97,734.3666667,91.33333333,5.666666667,40.0,4.63,10.29872874,10.29872874
